drug_id,interaction_type,interacts_with,severity,description_en,management_en
13,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
13,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
15,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
15,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
15,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
15,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
15,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
15,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
16,food,Iron,minor,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.",Administer iron supplement.
17,food,Calcium,minor,Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).,Administer calcium supplement.
21,food,Caffeine,minor,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,Limit caffeine intake.
28,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
28,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
28,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
28,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
28,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
28,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
29,food,Alcohol,moderate,Avoid alcohol. Alcohol may impair blood glucose control.,Avoid alcohol.
30,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
30,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
30,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
30,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
30,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
30,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
32,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. These effects may be exacerbated by alcohol consumption.,Avoid excessive or chronic alcohol consumption.
33,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
52,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
52,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
52,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
52,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
53,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
53,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
53,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
53,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
53,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
53,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
57,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",Avoid excessive or chronic alcohol consumption.
58,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",Avoid excessive or chronic alcohol consumption.
61,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
61,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
61,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
61,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
61,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
61,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
65,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",Avoid excessive or chronic alcohol consumption.
68,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
74,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
74,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
74,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
74,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
74,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
74,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
79,food,Fluids / Water,minor,Drink plenty of fluids. Take with fluids.,Drink plenty of fluids.
80,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
80,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
80,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
80,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
80,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
80,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
85,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
85,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
97,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
121,food,Fluids / Water,moderate,"Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.",
128,food,Vitamin C-rich foods,moderate,Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein.,
166,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
166,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
166,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
168,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
171,food,Milk / Dairy,moderate,Take with food or milk to reduce gastric irritation.,
171,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
176,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
176,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
178,food,Vitamin C-rich foods,minor,Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.,Limit foods and supplements high in vitamin C.
178,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib.",Exercise caution with grapefruit products.
179,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
181,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
183,food,Alcohol,moderate,Avoid alcohol. Co-administration of alcohol may potentiate the CNS effects of tramadol.,Avoid alcohol.
189,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
189,food,Fluids / Water,moderate,Take with a full glass of water.,
194,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide.",Exercise caution with grapefruit products.
196,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
198,food,High fat meal,moderate,Take with a high fat meal. High fat meals will increase ticlopidine absorption.,
199,food,High fat meal,moderate,Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.,
205,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
208,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
212,food,Alcohol,moderate,Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.,Avoid alcohol.
214,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
214,food,Fluids / Water,moderate,Take with a full glass of water.,
214,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
217,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.,Avoid grapefruit products.
220,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase CNS effects.,Avoid alcohol.
221,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
227,food,Alcohol,moderate,Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.,Avoid alcohol.
228,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
231,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
232,food,Echinacea,moderate,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants.",Avoid echinacea.
233,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
235,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
236,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
238,food,Grapefruit,minor,"Exercise caution with grapefruit products. Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration.",Exercise caution with grapefruit products.
242,food,Antacids,moderate,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.,
242,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin.,Avoid alcohol.
244,food,Milk / Dairy,moderate,"If gastric irritation occurs, it is recommended that doxycycline be given with food or milk.",
244,food,Calcium,moderate,"The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium.",
248,food,Calcium,moderate,"When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations.",
252,food,Echinacea,moderate,Avoid echinacea.,Avoid echinacea.
254,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
256,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
256,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
256,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
256,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
267,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline.",Avoid excessive or chronic alcohol consumption.
268,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban",Exercise caution with grapefruit products.
268,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
268,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
268,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
268,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
268,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
268,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
270,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
273,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
275,food,Alcohol,moderate,"Avoid alcohol. The safety of using venlafaxine with other CNS-active drugs, including alcohol, has not been evaluated.",Avoid alcohol.
281,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
281,food,Echinacea,moderate,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants.",Avoid echinacea.
284,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
284,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
285,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
299,food,Grapefruit,minor,"Exercise caution with grapefruit products. Vindesine is metabolized by CYP3A4, and grapefruit inhibits CYP3A4 metabolism, which may increase vindesine serum levels.",Exercise caution with grapefruit products.
303,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
303,food,Milk / Dairy,moderate,Avoid milk and dairy products.,Avoid milk and dairy products.
306,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.,Avoid alcohol.
307,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
308,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
310,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine.",Avoid grapefruit products.
311,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
311,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
317,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
318,food,Alcohol,moderate,Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding.,Avoid alcohol.
319,food,Antacids,major,Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.,Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.
320,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
322,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
323,food,Alcohol,moderate,Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension.,Avoid alcohol.
330,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
331,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4.",Exercise caution with grapefruit products.
336,food,Alcohol,moderate,Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy.,Avoid alcohol.
338,food,Alcohol,moderate,Avoid alcohol. Alcohol increases clobazam absorption by 50%.,Avoid alcohol.
342,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine.",Avoid grapefruit products.
345,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
347,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
347,food,Fluids / Water,moderate,Take with a full glass of water.,
349,food,Fluids / Water,moderate,"Sapropterin may be dissolved in water, juice, or dispersed in applesauce.",
350,food,Grapefruit,minor,Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism and may increase the serum levels of vinorelbine.,Exercise caution with grapefruit products.
352,food,Caffeine,minor,Limit caffeine intake. Caffeine may reduce clozapine metabolism.,Limit caffeine intake.
352,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
353,food,Antacids,moderate,Take separate from antacids. Take at least 30 minutes before or after antacids.,
354,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
354,food,Caffeine,moderate,Avoid caffeine.,Avoid caffeine.
355,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
359,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
360,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
361,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Additive CNS depression may occur if alcohol is consumed with thiethylperazine.,Avoid excessive or chronic alcohol consumption.
364,food,Fluids / Water,minor,Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids.,Drink plenty of fluids.
370,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
373,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
378,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.,Do not take with bran and high fiber foods.
378,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
378,food,Calcium,moderate,Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.,
379,food,Alcohol,moderate,Avoid alcohol. Alcohol enhances the sedative effects of sulpiride.,Avoid alcohol.
381,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
383,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
384,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
384,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
385,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
386,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib.",Exercise caution with grapefruit products.
388,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
388,food,High fat meal,moderate,Take with a high fat meal.,
389,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
390,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
392,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
392,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
392,food,Alcohol,moderate,Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug.,Avoid alcohol.
393,food,Alcohol,moderate,Avoid alcohol. Taking with alcohol may increase drowsiness.,Avoid alcohol.
395,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
395,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
395,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
395,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
396,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
402,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
406,food,Alcohol,moderate,Avoid alcohol. Taking with alcohol may cause additive CNS depression.,Avoid alcohol.
408,food,Alcohol,moderate,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed.,Avoid alcohol.
408,food,Antacids,moderate,Avoid antacids. The absorption of promazine may be reduced by antacid use.,Avoid antacids.
409,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
409,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
409,food,Iron,moderate,Food increases the bioavailability of spironolactone by nearly 100%.,
410,food,Alcohol,moderate,"Avoid alcohol. Co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate.",Avoid alcohol.
411,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
412,food,Antacids,moderate,Take separate from antacids. Take oral hyoscyamine before meals and antacids after meals.,
413,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
415,food,Alcohol,moderate,Avoid alcohol. Taking with alcohol may increase drowsiness.,Avoid alcohol.
419,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
421,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
422,food,Alcohol,moderate,Avoid alcohol. Co-administration with alcohol may potentiate the sedative effects of cyproheptadine.,Avoid alcohol.
425,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
425,food,Fluids / Water,moderate,Take with a full glass of water.,
427,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
432,food,Grapefruit,minor,"Exercise caution with grapefruit products. Teniposide is a CYP3A4 substrate, and grapefruit inhibits CYP3A4 metabolism, coadministration may increase the serum concentrations of teniposide.",Exercise caution with grapefruit products.
433,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
439,food,Iron,moderate,"Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Examples include iron, magnesium, and calcium.",Avoid iron supplements.
439,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit may delay the absorption of this medication.,Avoid grapefruit products.
439,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods.,Do not take with bran and high fiber foods.
439,food,Calcium,moderate,"Examples include iron, magnesium, and calcium. Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex.",Avoid calcium supplements/calcium rich foods.
439,food,Antacids,moderate,"These are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours.",
442,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
445,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
446,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods.,Do not take with bran and high fiber foods.
446,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
446,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
447,food,Alcohol,moderate,Avoid alcohol. Women of childbearing age should avoid ingesting any alcohol during treatment and two months after discontinuation of acitretin. Alcohol intake increases the duration of risk for birth defects to beyond three years post acitretin discontinuation.,Avoid alcohol.
449,food,Alcohol,moderate,Avoid alcohol. Alcohol use may aggravate the gastrointestinal irritation caused by this drug.,Avoid alcohol.
458,food,Alcohol,moderate,"Avoid alcohol. Patients with a history of substance abuse or dependence, including marijuana or alcohol, may be more likely to abuse SYNDROS as well.",Avoid alcohol.
460,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
462,food,Alcohol,moderate,Avoid alcohol. Alcohol intake may cause additive CNS depressant effects.,Avoid alcohol.
463,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
464,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.,Avoid excessive or chronic alcohol consumption.
465,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
469,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Excessive and chronic alcohol consumption may be associated with vitamin D deficiency.,Avoid excessive or chronic alcohol consumption.
470,food,Alcohol,moderate,Avoid alcohol. Alcohol increases the risk of gastrointestinal irritation.,Avoid alcohol.
472,food,Alcohol,moderate,Avoid alcohol. Alcohol intake may potentially lead to additive CNS depressant effects.,Avoid alcohol.
474,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
478,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit increases the plasma concentrations of the drug.,Avoid grapefruit products.
478,food,Alcohol,moderate,Avoid alcohol. Alcohol may cause additive CNS depressant effects.,Avoid alcohol.
480,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
480,food,Antacids,moderate,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.,
485,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
486,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
486,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
486,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
486,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
488,food,Alcohol,moderate,"Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.",Avoid alcohol.
488,food,Milk / Dairy,moderate,Food (or milk) can decrease oral bioavailability by 16%.,
490,food,Alcohol,moderate,Avoid alcohol. Alcohol may potential hypotension and CNS adverse effects.,Avoid alcohol.
501,food,Echinacea,moderate,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants.",Avoid echinacea.
504,food,High fat meal,moderate,Take with a high fat meal. A high fat meal increases solubility and absorption.,
505,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
514,food,Alcohol,moderate,"Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.",Avoid alcohol.
514,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.",Avoid grapefruit products.
