source_link,interaction_type,interacts_with,severity,description_en,management_en
DB00015,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00015,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00015,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00016,food,Iron,minor,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.",Administer iron supplement.
DB00017,food,Calcium,minor,Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).,Administer calcium supplement.
DB00022,food,Caffeine,minor,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,Limit caffeine intake.
DB00029,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00029,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00029,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00029,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00029,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00029,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00030,food,Alcohol,moderate,Avoid alcohol. Alcohol may impair blood glucose control.,Avoid alcohol.
DB00031,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00031,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00031,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00031,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00031,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00031,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00033,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. These effects may be exacerbated by alcohol consumption.,Avoid excessive or chronic alcohol consumption.
DB00034,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00054,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00054,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00054,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00054,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00055,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00055,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00055,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00055,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00055,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00055,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00059,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",Avoid excessive or chronic alcohol consumption.
DB00060,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",Avoid excessive or chronic alcohol consumption.
DB00063,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00063,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00063,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00063,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00063,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00063,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00068,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",Avoid excessive or chronic alcohol consumption.
DB00071,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
DB00078,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00078,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00078,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00078,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00078,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00078,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00085,food,Fluids / Water,minor,Drink plenty of fluids. Take with fluids.,Drink plenty of fluids.
DB00086,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00086,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00086,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00086,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00086,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00086,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00091,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00091,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
DB00105,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00130,food,Fluids / Water,moderate,"Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.",
DB00137,food,Vitamin C-rich foods,moderate,Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein.,
DB00176,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00176,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00176,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00178,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
DB00181,food,Milk / Dairy,moderate,Take with food or milk to reduce gastric irritation.,
DB00181,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00186,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00186,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00188,food,Vitamin C-rich foods,minor,Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.,Limit foods and supplements high in vitamin C.
DB00188,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib.",Exercise caution with grapefruit products.
DB00189,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00191,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00193,food,Alcohol,moderate,Avoid alcohol. Co-administration of alcohol may potentiate the CNS effects of tramadol.,Avoid alcohol.
DB00199,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00199,food,Fluids / Water,moderate,Take with a full glass of water.,
DB00204,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide.",Exercise caution with grapefruit products.
DB00206,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00208,food,High fat meal,moderate,Take with a high fat meal. High fat meals will increase ticlopidine absorption.,
DB00209,food,High fat meal,moderate,Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.,
DB00215,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00218,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
DB00222,food,Alcohol,moderate,Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.,Avoid alcohol.
DB00224,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00224,food,Fluids / Water,moderate,Take with a full glass of water.,
DB00224,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
DB00227,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.,Avoid grapefruit products.
DB00230,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase CNS effects.,Avoid alcohol.
DB00231,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00237,food,Alcohol,moderate,Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.,Avoid alcohol.
DB00238,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00241,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00242,food,Echinacea,moderate,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants.",Avoid echinacea.
DB00243,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00245,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00246,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00248,food,Grapefruit,minor,"Exercise caution with grapefruit products. Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration.",Exercise caution with grapefruit products.
DB00252,food,Antacids,moderate,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.,
DB00252,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin.,Avoid alcohol.
DB00254,food,Milk / Dairy,moderate,"If gastric irritation occurs, it is recommended that doxycycline be given with food or milk.",
DB00254,food,Calcium,moderate,"The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium.",
DB00258,food,Calcium,moderate,"When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations.",
DB00262,food,Echinacea,moderate,Avoid echinacea.,Avoid echinacea.
DB00264,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00266,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00266,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00266,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00266,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00277,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline.",Avoid excessive or chronic alcohol consumption.
DB00278,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban",Exercise caution with grapefruit products.
DB00278,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00278,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00278,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00278,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00278,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00278,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
DB00280,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00283,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00285,food,Alcohol,moderate,"Avoid alcohol. The safety of using venlafaxine with other CNS-active drugs, including alcohol, has not been evaluated.",Avoid alcohol.
DB00291,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
DB00291,food,Echinacea,moderate,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants.",Avoid echinacea.
DB00294,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00294,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00295,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00309,food,Grapefruit,minor,"Exercise caution with grapefruit products. Vindesine is metabolized by CYP3A4, and grapefruit inhibits CYP3A4 metabolism, which may increase vindesine serum levels.",Exercise caution with grapefruit products.
DB00313,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00313,food,Milk / Dairy,moderate,Avoid milk and dairy products.,Avoid milk and dairy products.
DB00316,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.,Avoid alcohol.
DB00317,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00318,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00320,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine.",Avoid grapefruit products.
DB00321,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00321,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00327,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00328,food,Alcohol,moderate,Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding.,Avoid alcohol.
DB00330,food,Antacids,major,Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.,Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.
DB00331,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00333,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00334,food,Alcohol,moderate,Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension.,Avoid alcohol.
DB00341,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00342,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4.",Exercise caution with grapefruit products.
DB00347,food,Alcohol,moderate,Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy.,Avoid alcohol.
DB00349,food,Alcohol,moderate,Avoid alcohol. Alcohol increases clobazam absorption by 50%.,Avoid alcohol.
DB00353,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine.",Avoid grapefruit products.
DB00356,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00358,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00358,food,Fluids / Water,moderate,Take with a full glass of water.,
DB00360,food,Fluids / Water,moderate,"Sapropterin may be dissolved in water, juice, or dispersed in applesauce.",
DB00361,food,Grapefruit,minor,Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism and may increase the serum levels of vinorelbine.,Exercise caution with grapefruit products.
DB00363,food,Caffeine,minor,Limit caffeine intake. Caffeine may reduce clozapine metabolism.,Limit caffeine intake.
DB00363,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00364,food,Antacids,moderate,Take separate from antacids. Take at least 30 minutes before or after antacids.,
DB00365,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
DB00365,food,Caffeine,moderate,Avoid caffeine.,Avoid caffeine.
DB00366,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00370,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00371,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00372,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Additive CNS depression may occur if alcohol is consumed with thiethylperazine.,Avoid excessive or chronic alcohol consumption.
DB00375,food,Fluids / Water,minor,Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids.,Drink plenty of fluids.
DB00381,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00384,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
DB00390,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.,Do not take with bran and high fiber foods.
DB00390,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
DB00390,food,Calcium,moderate,Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.,
DB00391,food,Alcohol,moderate,Avoid alcohol. Alcohol enhances the sedative effects of sulpiride.,Avoid alcohol.
DB00393,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00395,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00396,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00396,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00397,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00398,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib.",Exercise caution with grapefruit products.
DB00400,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00400,food,High fat meal,moderate,Take with a high fat meal.,
DB00401,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00402,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00404,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00404,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00404,food,Alcohol,moderate,Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug.,Avoid alcohol.
DB00405,food,Alcohol,moderate,Avoid alcohol. Taking with alcohol may increase drowsiness.,Avoid alcohol.
DB00407,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00407,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00407,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00407,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
DB00408,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00414,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00418,food,Alcohol,moderate,Avoid alcohol. Taking with alcohol may cause additive CNS depression.,Avoid alcohol.
DB00420,food,Alcohol,moderate,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed.,Avoid alcohol.
DB00420,food,Antacids,moderate,Avoid antacids. The absorption of promazine may be reduced by antacid use.,Avoid antacids.
DB00421,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00421,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
DB00421,food,Iron,moderate,Food increases the bioavailability of spironolactone by nearly 100%.,
DB00422,food,Alcohol,moderate,"Avoid alcohol. Co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate.",Avoid alcohol.
DB00423,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00424,food,Antacids,moderate,Take separate from antacids. Take oral hyoscyamine before meals and antacids after meals.,
DB00425,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00427,food,Alcohol,moderate,Avoid alcohol. Taking with alcohol may increase drowsiness.,Avoid alcohol.
DB00431,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
DB00433,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00434,food,Alcohol,moderate,Avoid alcohol. Co-administration with alcohol may potentiate the sedative effects of cyproheptadine.,Avoid alcohol.
DB00437,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00437,food,Fluids / Water,moderate,Take with a full glass of water.,
DB00439,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
DB00444,food,Grapefruit,minor,"Exercise caution with grapefruit products. Teniposide is a CYP3A4 substrate, and grapefruit inhibits CYP3A4 metabolism, coadministration may increase the serum concentrations of teniposide.",Exercise caution with grapefruit products.
DB00445,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
DB00451,food,Iron,moderate,"Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Examples include iron, magnesium, and calcium.",Avoid iron supplements.
DB00451,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit may delay the absorption of this medication.,Avoid grapefruit products.
DB00451,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods.,Do not take with bran and high fiber foods.
DB00451,food,Calcium,moderate,"Examples include iron, magnesium, and calcium. Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex.",Avoid calcium supplements/calcium rich foods.
DB00451,food,Antacids,moderate,"These are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours.",
DB00454,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00457,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00458,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods.,Do not take with bran and high fiber foods.
DB00458,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00458,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
DB00459,food,Alcohol,moderate,Avoid alcohol. Women of childbearing age should avoid ingesting any alcohol during treatment and two months after discontinuation of acitretin. Alcohol intake increases the duration of risk for birth defects to beyond three years post acitretin discontinuation.,Avoid alcohol.
DB00461,food,Alcohol,moderate,Avoid alcohol. Alcohol use may aggravate the gastrointestinal irritation caused by this drug.,Avoid alcohol.
DB00470,food,Alcohol,moderate,"Avoid alcohol. Patients with a history of substance abuse or dependence, including marijuana or alcohol, may be more likely to abuse SYNDROS as well.",Avoid alcohol.
DB00472,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00474,food,Alcohol,moderate,Avoid alcohol. Alcohol intake may cause additive CNS depressant effects.,Avoid alcohol.
DB00475,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00476,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.,Avoid excessive or chronic alcohol consumption.
DB00477,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00481,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Excessive and chronic alcohol consumption may be associated with vitamin D deficiency.,Avoid excessive or chronic alcohol consumption.
DB00482,food,Alcohol,moderate,Avoid alcohol. Alcohol increases the risk of gastrointestinal irritation.,Avoid alcohol.
DB00484,food,Alcohol,moderate,Avoid alcohol. Alcohol intake may potentially lead to additive CNS depressant effects.,Avoid alcohol.
DB00486,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
DB00490,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit increases the plasma concentrations of the drug.,Avoid grapefruit products.
DB00490,food,Alcohol,moderate,Avoid alcohol. Alcohol may cause additive CNS depressant effects.,Avoid alcohol.
DB00492,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
