drug_id,name,name_vi,source_link,is_active
36,'L-Glutamine','L-Glutamine','DB00130',TRUE
37,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
38,'Glutamic acid','Glutamic acid','DB00142',TRUE
39,'NADH','NADH','DB00157',TRUE
40,'Alanine','Alanine','DB00160',TRUE
41,'Ademetionine','Ademetionine','DB00118',TRUE
42,'Serine','Serine','DB00133',TRUE
43,'Methionine','Methionine','DB00134',TRUE
44,'Cysteine','Cysteine','DB00151',TRUE
45,'Zinc','kẽm','DB01593',TRUE
46,'Flavin adenine dinucleotide','Flavin adenine dinucleotide','DB03147',TRUE
47,'Ascorbic acid','Ascorbic acid','DB00126',TRUE
48,'Tyrosine','Tyrosine','DB00135',TRUE
49,'Sapropterin','Sapropterin','DB00360',TRUE
50,'Levodopa','Levodopa','DB01235',TRUE
51,'Iron','sắt','DB01592',TRUE
52,'Biotin','Biotin','DB00121',TRUE
53,'Proline','Proline','DB00172',TRUE
54,'Flavin mononucleotide','Flavin mononucleotide','DB03247',TRUE
55,'Cysteamine','Cysteamine','DB00847',TRUE
56,'Adenosine','Adenosine','DB00640',TRUE
57,'Lysine','Lysine','DB00123',TRUE
58,'Phenylalanine','Phenylalanine','DB00120',TRUE
59,'Disulfiram','Disulfiram','DB00822',TRUE
60,'Ethanol','Ethanol','DB00898',TRUE
61,'Levocarnitine','Levocarnitine','DB00583',TRUE
62,'Cyanocobalamin','Cyanocobalamin','DB00115',TRUE
63,'Xanthine','Xanthine','DB02134',TRUE
64,'Azathioprine','Azathioprine','DB00993',TRUE
65,'Mercaptopurine','Mercaptopurine','DB01033',TRUE
66,'Tioguanine','Tioguanine','DB00352',TRUE
67,'Folic acid','Folic acid','DB00158',TRUE
68,'Methotrexate','Methotrexate','DB00563',TRUE
69,'Clindamycin','Clindamycin','DB01190',TRUE
70,'Erythromycin','Erythromycin','DB00199',TRUE
71,'Rolitetracycline','Rolitetracycline','DB01301',TRUE
72,'Clarithromycin','Clarithromycin','DB01211',TRUE
73,'Oxytetracycline','Oxytetracycline','DB00595',TRUE
74,'Tetracycline','Tetracycline','DB00759',TRUE
75,'Telithromycin','Telithromycin','DB00976',TRUE
76,'Amikacin','Amikacin','DB00479',TRUE
77,'Spectinomycin','Spectinomycin','DB00919',TRUE
78,'Demeclocycline','Demeclocycline','DB00618',TRUE
79,'Doxycycline','Doxycycline','DB00254',TRUE
80,'Minocycline','Minocycline','DB01017',TRUE
81,'Ademetionine','Ademetionine','DB00118',TRUE
82,'Ademetionine','Ademetionine','DB00118',TRUE
83,'Phenytoin','Phenytoin','DB00252',TRUE
84,'Ademetionine','Ademetionine','DB00118',TRUE
85,'Ethanolamine','Ethanolamine','DB03994',TRUE
86,'Ademetionine','Ademetionine','DB00118',TRUE
87,'Glucosamine','Glucosamine','DB01296',TRUE
88,'Propylene glycol','Propylene glycol','DB01839',TRUE
89,'Lactaldehyde','Lactaldehyde','DB03776',TRUE
90,'Phenylalanine','Phenylalanine','DB00120',TRUE
91,'Biotin','Biotin','DB00121',TRUE
92,'Lysine','Lysine','DB00123',TRUE
93,'Biotin','Biotin','DB00121',TRUE
94,'Ascorbic acid','Ascorbic acid','DB00126',TRUE
95,'Ascorbic acid','Ascorbic acid','DB00126',TRUE
96,'Ascorbic acid','Ascorbic acid','DB00126',TRUE
97,'Ornithine','Ornithine','DB00129',TRUE
98,'L-Glutamine','L-Glutamine','DB00130',TRUE
99,'L-Glutamine','L-Glutamine','DB00130',TRUE
100,'L-Glutamine','L-Glutamine','DB00130',TRUE
101,'Thymidine','Thymidine','DB04485',TRUE
102,'L-Glutamine','L-Glutamine','DB00130',TRUE
103,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
104,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
105,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
106,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
107,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
108,'Thiamine','Thiamine','DB00152',TRUE
109,'Thiamine(1+) monophosphate','Thiamine(1+) monophosphate','DB03416',TRUE
110,'Serine','Serine','DB00133',TRUE
111,'Methionine','Methionine','DB00134',TRUE
112,'Lymecycline','Lymecycline','DB00256',TRUE
113,'Paromomycin','Paromomycin','DB01421',TRUE
114,'Chloramphenicol','Chloramphenicol','DB00446',TRUE
115,'Tyrosine','Tyrosine','DB00135',TRUE
116,'Tyrosine','Tyrosine','DB00135',TRUE
117,'Liothyronine','Liothyronine','DB00279',TRUE
118,'Levothyroxine','Levothyroxine','DB00451',TRUE
119,'Lutein','Lutein','DB00137',TRUE
120,'Ascorbic acid','Ascorbic acid','DB00126',TRUE
121,'Ascorbic acid','Ascorbic acid','DB00126',TRUE
122,'Glutamic acid','Glutamic acid','DB00142',TRUE
123,'Glutamic acid','Glutamic acid','DB00142',TRUE
124,'Etodolac','Etodolac','DB00749',TRUE
125,'Glutamic acid','Glutamic acid','DB00142',TRUE
126,'Ketoprofen','Ketoprofen','DB01009',TRUE
127,'Ibuprofen','Ibuprofen','DB01050',TRUE
128,'Glutamic acid','Glutamic acid','DB00142',TRUE
129,'Celecoxib','Celecoxib','DB00482',TRUE
130,'Glutamic acid','Glutamic acid','DB00142',TRUE
131,'Indomethacin','Indomethacin','DB00328',TRUE
132,'Glutamic acid','Glutamic acid','DB00142',TRUE
133,'Diflunisal','Diflunisal','DB00861',TRUE
134,'Rofecoxib','Rofecoxib','DB00533',TRUE
135,'Diclofenac','Diclofenac','DB00586',TRUE
136,'Sulindac','Sulindac','DB00605',TRUE
137,'Nabumetone','Nabumetone','DB00461',TRUE
138,'Valdecoxib','Valdecoxib','DB00580',TRUE
139,'Antipyrine','Antipyrine','DB01435',TRUE
140,'Flurbiprofen','Flurbiprofen','DB00712',TRUE
141,'Glutamic acid','Glutamic acid','DB00142',TRUE
142,'Acetylsalicylic acid','Acetylsalicylic acid','DB00945',TRUE
143,'Ketorolac','Ketorolac','DB00465',TRUE
144,'Meloxicam','Meloxicam','DB00814',TRUE
145,'Mefenamic acid','Mefenamic acid','DB00784',TRUE
146,'Oxaprozin','Oxaprozin','DB00991',TRUE
147,'Naproxen','Naproxen','DB00788',TRUE
148,'Cyclophosphamide','Cyclophosphamide','DB00531',TRUE
149,'Acetaminophen','Acetaminophen','DB00316',TRUE
150,'Cholic Acid','Cholic Acid','DB02659',TRUE
151,'Glutamic acid','Glutamic acid','DB00142',TRUE
152,'Glutamic acid','Glutamic acid','DB00142',TRUE
153,'Calcifediol','Calcifediol','DB00146',TRUE
154,'Tryptophan','Tryptophan','DB00150',TRUE
155,'Cysteine','Cysteine','DB00151',TRUE
156,'Cysteine','Cysteine','DB00151',TRUE
157,'Polythiazide','Polythiazide','DB01324',TRUE
158,'Cysteine','Cysteine','DB00151',TRUE
159,'Bumetanide','Bumetanide','DB00887',TRUE
160,'Quinethazone','Quinethazone','DB01325',TRUE
161,'Indapamide','Indapamide','DB00808',TRUE
162,'Spironolactone','Spsắtolactone','DB00421',TRUE
163,'Eplerenone','Eplerenone','DB00700',TRUE
164,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
165,'Cysteine','Cysteine','DB00151',TRUE
166,'Bendroflumethiazide','Bendroflumethiazide','DB00436',TRUE
167,'Etacrynic acid','Etacrynic acid','DB00903',TRUE
168,'Hydroflumethiazide','Hydroflumethiazide','DB00774',TRUE
169,'Chlorthalidone','Chlorthalidone','DB00310',TRUE
170,'Amiloride','Amiloride','DB00594',TRUE
171,'Cysteine','Cysteine','DB00151',TRUE
172,'Thiamine','Thiamine','DB00152',TRUE
173,'Azithromycin','Azithromycin','DB00207',TRUE
174,'NADH','NADH','DB00157',TRUE
175,'NADH','NADH','DB00157',TRUE
176,'Theophylline','Theophylline','DB00277',TRUE
177,'Tryptophan','Tryptophan','DB00150',TRUE
178,'Melatonin','Melatonin','DB01065',TRUE
179,'NADH','NADH','DB00157',TRUE
180,'NADH','NADH','DB00157',TRUE
181,'Estrone','Estrone','DB00655',TRUE
182,'Estrone sulfate','Estrone sulchất béoe','DB04574',TRUE
183,'NADH','NADH','DB00157',TRUE
184,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
185,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
186,'NADH','NADH','DB00157',TRUE
187,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
188,'Folic acid','Folic acid','DB00158',TRUE
189,'Icosapent','Icosapent','DB00159',TRUE
190,'Alanine','Alanine','DB00160',TRUE
191,'Glutamic acid','Glutamic acid','DB00142',TRUE
192,'Glutamic acid','Glutamic acid','DB00142',TRUE
193,'NADH','NADH','DB00157',TRUE
194,'Alitretinoin','Alitretinoin','DB00523',TRUE
195,'Tretinoin','Tretinoin','DB00755',TRUE
196,'Vitamin E','vitamin E','DB00163',TRUE
197,'Cholecalciferol','Cholecalciferol','DB00169',TRUE
198,'Cholecalciferol','Cholecalciferol','DB00169',TRUE
199,'Cerivastatin','Cerivastatin','DB00439',TRUE
200,'Cholecalciferol','Cholecalciferol','DB00169',TRUE
201,'Simvastatin','Simvastatin','DB00641',TRUE
202,'Pravastatin','Pravastatin','DB00175',TRUE
203,'Rosuvastatin','Rosuvastatin','DB01098',TRUE
204,'Fluvastatin','Fluvastatin','DB01095',TRUE
205,'Ibandronate','Ibandronate','DB00710',TRUE
206,'Alendronic acid','Alendronic acid','DB00630',TRUE
207,'Risedronic acid','Risedronic acid','DB00884',TRUE
208,'Inositol','Inositol','DB13178',TRUE
209,'NADH','NADH','DB00157',TRUE
210,'NADH','NADH','DB00157',TRUE
211,'L-Glutamine','L-Glutamine','DB00130',TRUE
212,'Cholecalciferol','Cholecalciferol','DB00169',TRUE
213,'Proline','Proline','DB00172',TRUE
214,'Pravastatin','Pravastatin','DB00175',TRUE
215,'Fluvoxamine','Fluvoxamine','DB00176',TRUE
216,'Valsartan','Valsartan','DB00177',TRUE
217,'Ramipril','Ramipril','DB00178',TRUE
218,'Ramipril','Ramipril','DB00178',TRUE
219,'Baclofen','Baclofen','DB00181',TRUE
220,'Amphetamine','Amphetamine','DB00182',TRUE
221,'Nicotine','Nicotine','DB00184',TRUE
222,'NADH','NADH','DB00157',TRUE
223,'Nicotine','Nicotine','DB00184',TRUE
224,'Lorazepam','Lorazepam','DB00186',TRUE
225,'Bortezomib','Bortezomib','DB00188',TRUE
226,'Ethchlorvynol','Ethchlorvynol','DB00189',TRUE
227,'Phentermine','Phentermine','DB00191',TRUE
228,'Tramadol','Tramadol','DB00193',TRUE
229,'NADH','NADH','DB00157',TRUE
230,'Tramadol','Tramadol','DB00193',TRUE
231,'Betaxolol','Betaxolol','DB00195',TRUE
232,'Fluconazole','Fluconazole','DB00196',TRUE
233,'Oseltamivir','Oseltamivir','DB00198',TRUE
234,'Erythromycin','Erythromycin','DB00199',TRUE
235,'Sildenafil','Sildenafil','DB00203',TRUE
236,'Dofetilide','Dofetilide','DB00204',TRUE
237,'Pyrimethamine','Pyrimethamine','DB00205',TRUE
238,'Reserpine','Reserpine','DB00206',TRUE
239,'Azithromycin','Azithromycin','DB00207',TRUE
240,'Ticlopidine','Ticlopidine','DB00208',TRUE
241,'Ticlopidine','Ticlopidine','DB00208',TRUE
242,'Trospium','Trospium','DB00209',TRUE
243,'Midodrine','Midodrine','DB00211',TRUE
244,'Pantoprazole','Pantoprazole','DB00213',TRUE
245,'Pantoprazole','Pantoprazole','DB00213',TRUE
246,'Torasemide','Torasemide','DB00214',TRUE
247,'Citalopram','Citalopram','DB00215',TRUE
248,'NADH','NADH','DB00157',TRUE
249,'Citalopram','Citalopram','DB00215',TRUE
250,'Eletriptan','Eletriptan','DB00216',TRUE
251,'Moxifloxacin','Moxifloxacin','DB00218',TRUE
252,'Nelfinavir','Nelfinavir','DB00220',TRUE
253,'Glimepiride','Glimepiride','DB00222',TRUE
254,'Indinavir','Indinavir','DB00224',TRUE
255,'Lovastatin','Lovastatin','DB00227',TRUE
256,'Pregabalin','Pregabalin','DB00230',TRUE
257,'Temazepam','Temazepam','DB00231',TRUE
258,'Aminosalicylic acid','Aminosalicylic acid','DB00233',TRUE
259,'Butabarbital','Butabarbital','DB00237',TRUE
260,'Nevirapine','Nevirapine','DB00238',TRUE
261,'Adenosine phosphate','Adenosine phosphate','DB00131',TRUE
262,'Nevirapine','Nevirapine','DB00238',TRUE
263,'Butalbital','Butalbital','DB00241',TRUE
264,'Cladribine','Cladribine','DB00242',TRUE
265,'Ranolazine','Ranolazine','DB00243',TRUE
266,'Mesalazine','Mesalazine','DB00244',TRUE
267,'Benzatropine','Benzatropine','DB00245',TRUE
268,'Ziprasidone','Ziprasidone','DB00246',TRUE
269,'Methysergide','Methysergide','DB00247',TRUE
270,'Cabergoline','Cabergoline','DB00248',TRUE
271,'Dapsone','Dapsone','DB00250',TRUE
272,'Phenytoin','Phenytoin','DB00252',TRUE
273,'Fosphenytoin','Fosphenytoin','DB01320',TRUE
274,'Phenytoin','Phenytoin','DB00252',TRUE
275,'Doxycycline','Doxycycline','DB00254',TRUE
276,'Lymecycline','Lymecycline','DB00256',TRUE
277,'Calcium acetate','canxi acetate','DB00258',TRUE
278,'Cycloserine','Cycloserine','DB00260',TRUE
279,'Anagrelide','Anagrelide','DB00261',TRUE
280,'Carmustine','Carmustine','DB00262',TRUE
281,'Metoprolol','Metoprolol','DB00264',TRUE
282,'Dicoumarol','Dicoumarol','DB00266',TRUE
283,'Dicoumarol','Dicoumarol','DB00266',TRUE
284,'Phylloquinone','Phylloquinone','DB01022',TRUE
285,'Ropinirole','Ropinirole','DB00268',TRUE
286,'Isradipine','Isradipine','DB00270',TRUE
287,'Topiramate','Topiramate','DB00273',TRUE
288,'Olmesartan','Olmesartan','DB00275',TRUE
289,'Theophylline','Theophylline','DB00277',TRUE
290,'Argatroban','Argatroban','DB00278',TRUE
291,'Liothyronine','Liothyronine','DB00279',TRUE
292,'Disopyramide','Disopyramide','DB00280',TRUE
293,'NADH','NADH','DB00157',TRUE
294,'NADH','NADH','DB00157',TRUE
295,'Clemastine','Clemastine','DB00283',TRUE
296,'Acarbose','Acarbose','DB00284',TRUE
297,'Venlafaxine','Venlafaxine','DB00285',TRUE
298,'Conjugated estrogens','Conjugated estrogens','DB00286',TRUE
299,'Atomoxetine','Atomoxetine','DB00289',TRUE
300,'Chlorambucil','Chlorambucil','DB00291',TRUE
301,'Etonogestrel','Etonogestrel','DB00294',TRUE
302,'Morphine','Morphine','DB00295',TRUE
303,'NADH','NADH','DB00157',TRUE
304,'Morphine','Morphine','DB00295',TRUE
305,'Codeine','Codeine','DB00318',TRUE
306,'Morphine','Morphine','DB00295',TRUE
307,'Diamorphine','Diamorphine','DB01452',TRUE
308,'NADH','NADH','DB00157',TRUE
309,'Morphine','Morphine','DB00295',TRUE
310,'Tenofovir disoproxil','Tenofovir disoproxil','DB00300',TRUE
311,'Flucloxacillin','Flucloxacillin','DB00301',TRUE
312,'Tranexamic acid','Tranexamic acid','DB00302',TRUE
313,'Bexarotene','Bexarotene','DB00307',TRUE
314,'Vindesine','Vindesine','DB00309',TRUE
315,'Chlorthalidone','Chlorthalidone','DB00310',TRUE
316,'Valproic acid','Valproic acid','DB00313',TRUE
317,'Zolmitriptan','Zolmitriptan','DB00315',TRUE
318,'Acetaminophen','Acetaminophen','DB00316',TRUE
319,'Glutamic acid','Glutamic acid','DB00142',TRUE
320,'Gefitinib','Gefitinib','DB00317',TRUE
321,'Codeine','Codeine','DB00318',TRUE
322,'NADH','NADH','DB00157',TRUE
323,'Dihydroergotamine','Dihydroergotamine','DB00320',TRUE
324,'Amitriptyline','Amitriptyline','DB00321',TRUE
325,'Tolcapone','Tolcapone','DB00323',TRUE
326,'Hydromorphone','Hydromorphone','DB00327',TRUE
327,'Indomethacin','Indomethacin','DB00328',TRUE
328,'Ethambutol','Ethambutol','DB00330',TRUE
329,'Metformin','Metformin','DB00331',TRUE
330,'Methadone','Methadone','DB00333',TRUE
331,'NADH','NADH','DB00157',TRUE
332,'Methadone','Methadone','DB00333',TRUE
333,'Olanzapine','Olanzapine','DB00334',TRUE
334,'Omeprazole','Omeprazole','DB00338',TRUE
335,'Omeprazole','Omeprazole','DB00338',TRUE
336,'Pyrazinamide','Pyrazinamide','DB00339',TRUE
337,'Cetirizine','Cetirizine','DB00341',TRUE
338,'Terfenadine','Terfenadine','DB00342',TRUE
339,'Diltiazem','Diltiazem','DB00343',TRUE
340,'Alfuzosin','Alfuzosin','DB00346',TRUE
341,'Trimethadione','Trimethadione','DB00347',TRUE
342,'Nitisinone','Nitisinone','DB00348',TRUE
343,'Clobazam','Clobazam','DB00349',TRUE
344,'Minoxidil','Minoxidil','DB00350',TRUE
345,'Megestrol acetate','Megestrol acetate','DB00351',TRUE
346,'Tioguanine','Tioguanine','DB00352',TRUE
347,'Tioguanine','Tioguanine','DB00352',TRUE
348,'Methylergometrine','Methylergometrine','DB00353',TRUE
349,'Chlorzoxazone','Chlorzoxazone','DB00356',TRUE
350,'Aminoglutethimide','Aminoglutethimide','DB00357',TRUE
351,'Mefloquine','Mefloquine','DB00358',TRUE
352,'Sapropterin','Sapropterin','DB00360',TRUE
353,'NADH','NADH','DB00157',TRUE
354,'Doxorubicin','Doxorubicin','DB00997',TRUE
355,'NADH','NADH','DB00157',TRUE
356,'NADH','NADH','DB00157',TRUE
357,'Vinorelbine','Vinorelbine','DB00361',TRUE
358,'Clozapine','Clozapine','DB00363',TRUE
359,'Sucralfate','Sucralchất béoe','DB00364',TRUE
360,'Grepafloxacin','Grepafloxacin','DB00365',TRUE
361,'Doxylamine','Doxylamine','DB00366',TRUE
362,'Levonorgestrel','Levonorgestrel','DB00367',TRUE
363,'NADH','NADH','DB00157',TRUE
364,'Hydromorphone','Hydromorphone','DB00327',TRUE
365,'Fentanyl','Fentanyl','DB00813',TRUE
366,'Sufentanil','Sufentanil','DB00708',TRUE
367,'Dihydromorphine','Dihydromorphine','DB01565',TRUE
368,'Hydrocodone','Hydrocodone','DB00956',TRUE
369,'Oxymorphone','Oxymorphone','DB01192',TRUE
370,'Remifentanil','Remifentanil','DB00899',TRUE
371,'Fluoxetine','Fluoxetine','DB00472',TRUE
372,'NADH','NADH','DB00157',TRUE
373,'Dextropropoxyphene','Dextropropoxyphene','DB00647',TRUE
374,'Anileridine','Anileridine','DB00913',TRUE
375,'Mirtazapine','Mirtazapine','DB00370',TRUE
376,'Meprobamate','Meprobamate','DB00371',TRUE
377,'Meprobamate','Meprobamate','DB00371',TRUE
378,'Capecitabine','Capecitabine','DB01101',TRUE
379,'Thiethylperazine','Thiethylperazine','DB00372',TRUE
380,'Treprostinil','Treprostinil','DB00374',TRUE
381,'Colestipol','Colestipol','DB00375',TRUE
382,'Trihexyphenidyl','Trihexyphenidyl','DB00376',TRUE
383,'Palonosetron','Palonosetron','DB00377',TRUE
384,'Mexiletine','Mexiletine','DB00379',TRUE
385,'Amlodipine','Amlodipine','DB00381',TRUE
386,'Tacrine','Tacrine','DB00382',TRUE
387,'Triamterene','Triamterene','DB00384',TRUE
388,'Procyclidine','Procyclidine','DB00387',TRUE
389,'Digoxin','Digoxin','DB00390',TRUE
390,'Sulpiride','Sulpiride','DB00391',TRUE
391,'Nimodipine','Nimodipine','DB00393',TRUE
392,'Carisoprodol','Carisoprodol','DB00395',TRUE
393,'Progesterone','Progesterone','DB00396',TRUE
394,'NADH','NADH','DB00157',TRUE
395,'Progesterone','Progesterone','DB00396',TRUE
396,'Hydrocortisone','Hydrocortisone','DB00741',TRUE
397,'Phenylpropanolamine','Phenylpropanolamine','DB00397',TRUE
398,'Sorafenib','Sorafenib','DB00398',TRUE
399,'Griseofulvin','Griseofulvin','DB00400',TRUE
400,'Nisoldipine','Nisoldipine','DB00401',TRUE
401,'Eszopiclone','Eszopiclone','DB00402',TRUE
402,'Alprazolam','Alprazolam','DB00404',TRUE
403,'Dexbrompheniramine','Dexbrompheniramine','DB00405',TRUE
404,'Ardeparin','Ardeparin','DB00407',TRUE
405,'Ardeparin','Ardeparin','DB00407',TRUE
406,'Loxapine','Loxapine','DB00408',TRUE
407,'Rosiglitazone','Rosiglitazone','DB00412',TRUE
408,'Pramipexole','Pramipexole','DB00413',TRUE
409,'Acetohexamide','Acetohexamide','DB00414',TRUE
410,'Ampicillin','Ampicillin','DB00415',TRUE
411,'Phenoxymethylpenicillin','Phenoxymethylpenicillin','DB00417',TRUE
412,'Secobarbital','Secobarbital','DB00418',TRUE
413,'Miglustat','Miglustat','DB00419',TRUE
414,'Promazine','Promazine','DB00420',TRUE
415,'Spironolactone','Spsắtolactone','DB00421',TRUE
416,'Methylphenidate','Methylphenidate','DB00422',TRUE
417,'Methocarbamol','Methocarbamol','DB00423',TRUE
418,'Hyoscyamine','Hyoscyamine','DB00424',TRUE
419,'Zolpidem','Zolpidem','DB00425',TRUE
420,'Famciclovir','Famciclovir','DB00426',TRUE
421,'Triprolidine','Triprolidine','DB00427',TRUE
422,'Lindane','Lindane','DB00431',TRUE
423,'Trifluridine','Trifluridine','DB00432',TRUE
424,'Prochlorperazine','Prochlorperazine','DB00433',TRUE
425,'Cyproheptadine','Cyproheptadine','DB00434',TRUE
426,'Bendroflumethiazide','Bendroflumethiazide','DB00436',TRUE
427,'Allopurinol','Allopurinol','DB00437',TRUE
428,'Cerivastatin','Cerivastatin','DB00439',TRUE
429,'Entecavir','Entecavir','DB00442',TRUE
430,'Teniposide','Teniposide','DB00444',TRUE
431,'NADH','NADH','DB00157',TRUE
432,'Teniposide','Teniposide','DB00444',TRUE
433,'Epirubicin','Epirubicin','DB00445',TRUE
434,'Chloramphenicol','Chloramphenicol','DB00446',TRUE
435,'Loracarbef','Loracarbef','DB00447',TRUE
436,'Lansoprazole','Lansoprazole','DB00448',TRUE
437,'Lansoprazole','Lansoprazole','DB00448',TRUE
438,'Levothyroxine','Levothyroxine','DB00451',TRUE
439,'Meperidine','Meperidine','DB00454',TRUE
440,'Prazosin','Prazosin','DB00457',TRUE
441,'Imipramine','Imipramine','DB00458',TRUE
442,'NADH','NADH','DB00157',TRUE
443,'Imipramine','Imipramine','DB00458',TRUE
444,'Desipramine','Desipramine','DB01151',TRUE
445,'Acitretin','Acitretin','DB00459',TRUE
446,'Nabumetone','Nabumetone','DB00461',TRUE
447,'Methscopolamine bromide','Methscopolamine bromide','DB00462',TRUE
448,'Ketorolac','Ketorolac','DB00465',TRUE
449,'Quinine','Quinine','DB00468',TRUE
450,'Tenoxicam','Tenoxicam','DB00469',TRUE
451,'Dronabinol','Dronabinol','DB00470',TRUE
452,'Montelukast','Montelukast','DB00471',TRUE
453,'Fluoxetine','Fluoxetine','DB00472',TRUE
454,'NADH','NADH','DB00157',TRUE
455,'Methohexital','Methohexital','DB00474',TRUE
456,'Chlordiazepoxide','Chlordiazepoxide','DB00475',TRUE
457,'Duloxetine','Duloxetine','DB00476',TRUE
458,'Chlorpromazine','Chlorpromazine','DB00477',TRUE
459,'Amikacin','Amikacin','DB00479',TRUE
460,'Lenalidomide','Lenalidomide','DB00480',TRUE
461,'Raloxifene','Raloxifene','DB00481',TRUE
462,'Celecoxib','Celecoxib','DB00482',TRUE
463,'Celecoxib','Celecoxib','DB00482',TRUE
464,'Brimonidine','Brimonidine','DB00484',TRUE
465,'Dicloxacillin','Dicloxacillin','DB00485',TRUE
466,'Nabilone','Nabilone','DB00486',TRUE
467,'Altretamine','Altretamine','DB00488',TRUE
468,'Sotalol','Sotalol','DB00489',TRUE
469,'Buspirone','Buspsắte','DB00490',TRUE
470,'Miglitol','Miglitol','DB00491',TRUE
471,'Fosinopril','Fosinopril','DB00492',TRUE
472,'Fosinopril','Fosinopril','DB00492',TRUE
473,'Entacapone','Entacapone','DB00494',TRUE
474,'Zidovudine','Zidovudine','DB00495',TRUE
475,'Darifenacin','Darifenacin','DB00496',TRUE
476,'Oxycodone','Oxycodone','DB00497',TRUE
477,'Phenindione','Phenindione','DB00498',TRUE
478,'Flutamide','Flutamide','DB00499',TRUE
479,'Tolmetin','Tolmetin','DB00500',TRUE
480,'Cimetidine','Cimetidine','DB00501',TRUE
481,'Cimetidine','Cimetidine','DB00501',TRUE
482,'Haloperidol','Haloperidol','DB00502',TRUE
483,'Ritonavir','Ritonavir','DB00503',TRUE
484,'Nitazoxanide','Nitazoxanide','DB00507',TRUE
485,'Dextrothyroxine','Dextrothyroxine','DB00509',TRUE
486,'Vancomycin','Vancomycin','DB00512',TRUE
487,'Aminocaproic acid','Aminocaproic acid','DB00513',TRUE
488,'Dextromethorphan','Dextromethorphan','DB00514',TRUE
489,'Cisplatin','Cisplatin','DB00515',TRUE
490,'Albendazole','Albendazole','DB00518',TRUE
491,'Trandolapril','Trandolapril','DB00519',TRUE
492,'Trandolapril','Trandolapril','DB00519',TRUE
493,'Alitretinoin','Alitretinoin','DB00523',TRUE
494,'Metolazone','Metolazone','DB00524',TRUE
495,'Lercanidipine','Lercanidipine','DB00528',TRUE
496,'Erlotinib','Erlotinib','DB00530',TRUE
497,'Cyclophosphamide','Cyclophosphamide','DB00531',TRUE
498,'Rofecoxib','Rofecoxib','DB00533',TRUE
499,'Cefdinir','Cefdinir','DB00535',TRUE
500,'Ciprofloxacin','Ciprofloxacin','DB00537',TRUE
501,'Gadoversetamide','Gadoversetamide','DB00538',TRUE
502,'Toremifene','Toremifene','DB00539',TRUE
503,'Nortriptyline','Nortriptyline','DB00540',TRUE
504,'Vincristine','Vincristine','DB00541',TRUE
505,'Benazepril','Benazepril','DB00542',TRUE
506,'Benazepril','Benazepril','DB00542',TRUE
