drug_id,condition_id,treatment_notes,treatment_notes_vi,is_primary
2,3562,'Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of chronic pain Denileukin diftitox tablets Denileukin diftitox oral Treatment of diabetes mellitus type 2 Treatment',NULL,FALSE
2,3563,'Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of chronic pain Denileukin diftitox tablets Denileukin diftitox oral Treatment of diabetes mellitus type 2 Treatment',NULL,FALSE
2,3561,'Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of chronic pain Denileukin diftitox tablets Denileukin diftitox oral Treatment of diabetes mellitus type 2 Treatment',NULL,FALSE
1526,10701,'Treatment of allergic rhinitis 3-(heptyloxy)benzoic acid 3-(heptyloxy)benzoic acid tablets 3-(heptyloxy)benzoic acid oral Treatment of allergic rhinitis May interact with calcium carbonate Do not take',NULL,FALSE
1526,10700,'Treatment of allergic rhinitis 3-(heptyloxy)benzoic acid 3-(heptyloxy)benzoic acid tablets 3-(heptyloxy)benzoic acid oral Treatment of allergic rhinitis May interact with calcium carbonate Do not take',NULL,FALSE
1333,10701,'Treatment of allergic rhinitis Digitoxigenin tablets Treatment of allergic rhinitis May interact with vitamin K Do not take with calcium supplements May interact with vitamin K Take Digitoxigenin as d',NULL,FALSE
1333,10700,'Treatment of allergic rhinitis Digitoxigenin tablets Treatment of allergic rhinitis May interact with vitamin K Do not take with calcium supplements May interact with vitamin K Take Digitoxigenin as d',NULL,FALSE
1333,3852,'Treatment of allergic rhinitis Digitoxigenin tablets Treatment of allergic rhinitis May interact with vitamin K Do not take with calcium supplements May interact with vitamin K Take Digitoxigenin as d',NULL,FALSE
1352,292,'Treatment of bacterial infections Biphenylalanine tablets Treatment of bacterial infections Do not take with calcium supplements Do not consume with magnesium Avoid iron-rich foods Take Biphenylalanin',NULL,FALSE
1352,42,'Treatment of bacterial infections Biphenylalanine tablets Treatment of bacterial infections Do not take with calcium supplements Do not consume with magnesium Avoid iron-rich foods Take Biphenylalanin',NULL,FALSE
1352,23237,'Treatment of bacterial infections Biphenylalanine tablets Treatment of bacterial infections Do not take with calcium supplements Do not consume with magnesium Avoid iron-rich foods Take Biphenylalanin',NULL,FALSE
1414,66247,'Treatment of heart failure Treatment of rheumatoid arthritis Treatment of heart failure Treatment of rheumatoid arthritis Do not consume with magnesium Take NX-1207 as directed by physician',NULL,FALSE
1414,66253,'Treatment of heart failure Treatment of rheumatoid arthritis Treatment of heart failure Treatment of rheumatoid arthritis Do not consume with magnesium Take NX-1207 as directed by physician',NULL,FALSE
1414,73654,'Treatment of heart failure Treatment of rheumatoid arthritis Treatment of heart failure Treatment of rheumatoid arthritis Do not consume with magnesium Take NX-1207 as directed by physician',NULL,FALSE
1742,3852,'Treatment of pain and inflammation Sporotrichum pruinosum Sporotrichum pruinosum tablets Sporotrichum pruinosum oral Treatment of pain and inflammation Limit vitamin C intake Do not consume with magne',NULL,FALSE
2094,62928,'Treatment of hypertension Treatment of hypertension May deplete zinc levels Take Zanolimumab as directed by physician',NULL,FALSE
1549,3562,'Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis S-palmitoyl-L-cysteine S-palmitoyl-L-cysteine tablets S-palmitoyl-L-cysteine oral Treatment of diabetes mellitus type 2 Treatmen',NULL,FALSE
1549,3563,'Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis S-palmitoyl-L-cysteine S-palmitoyl-L-cysteine tablets S-palmitoyl-L-cysteine oral Treatment of diabetes mellitus type 2 Treatmen',NULL,FALSE
1549,3561,'Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis S-palmitoyl-L-cysteine S-palmitoyl-L-cysteine tablets S-palmitoyl-L-cysteine oral Treatment of diabetes mellitus type 2 Treatmen',NULL,FALSE
690,3852,'Treatment of hypertension Treatment of hypertension Do not take with calcium supplements May interact with calcium carbonate May interact with vitamin K May interact with calcium carbonate May interac',NULL,FALSE
1522,10701,'Treatment of allergic rhinitis (2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide (2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide tablets (2S',NULL,FALSE
1522,10700,'Treatment of allergic rhinitis (2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide (2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide tablets (2S',NULL,FALSE
1990,3852,'Treatment of pain and inflammation Treatment of asthma Treatment of allergic rhinitis Grape seed oil tablets Treatment of pain and inflammation Treatment of allergic rhinitis Limit vitamin C intake Ma',NULL,FALSE
1990,10701,'Treatment of pain and inflammation Treatment of asthma Treatment of allergic rhinitis Grape seed oil tablets Treatment of pain and inflammation Treatment of allergic rhinitis Limit vitamin C intake Ma',NULL,FALSE
1990,10700,'Treatment of pain and inflammation Treatment of asthma Treatment of allergic rhinitis Grape seed oil tablets Treatment of pain and inflammation Treatment of allergic rhinitis Limit vitamin C intake Ma',NULL,FALSE
31,10701,'Treatment of allergic rhinitis Treatment of chronic pain Treatment of hypertension Treatment of allergic rhinitis Treatment of chronic pain Treatment of hypertension May interact with vitamin K May in',NULL,FALSE
31,10700,'Treatment of allergic rhinitis Treatment of chronic pain Treatment of hypertension Treatment of allergic rhinitis Treatment of chronic pain Treatment of hypertension May interact with vitamin K May in',NULL,FALSE
1519,3852,'Treatment of rheumatoid arthritis 4-HYDROXY-N''-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE 4-HYDROXY-N''-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE tablets 4-HYDROXY-N''-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE oral Treatment of',NULL,FALSE
1519,13508,'Treatment of rheumatoid arthritis 4-HYDROXY-N''-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE 4-HYDROXY-N''-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE tablets 4-HYDROXY-N''-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE oral Treatment of',NULL,FALSE
1906,3562,'Treatment of diabetes mellitus type 2 Treatment of chronic pain Treatment of diabetes mellitus type 2 Treatment of chronic pain Avoid iron-rich foods Take Rimacalib as directed by physician',NULL,FALSE
1906,3563,'Treatment of diabetes mellitus type 2 Treatment of chronic pain Treatment of diabetes mellitus type 2 Treatment of chronic pain Avoid iron-rich foods Take Rimacalib as directed by physician',NULL,FALSE
1906,3561,'Treatment of diabetes mellitus type 2 Treatment of chronic pain Treatment of diabetes mellitus type 2 Treatment of chronic pain Avoid iron-rich foods Take Rimacalib as directed by physician',NULL,FALSE
1546,3852,'Treatment of rheumatoid arthritis Treatment of bacterial infections 7-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEPTANOIC ACID 7-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEPTANOIC ACID tablets 7-{[(CYCLOHEXYLAMINO)C',NULL,FALSE
1546,292,'Treatment of rheumatoid arthritis Treatment of bacterial infections 7-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEPTANOIC ACID 7-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEPTANOIC ACID tablets 7-{[(CYCLOHEXYLAMINO)C',NULL,FALSE
1872,66247,'Treatment of heart failure Treatment of rheumatoid arthritis Treatment of asthma Treatment of heart failure Treatment of rheumatoid arthritis Avoid fiber supplements Avoid iron-rich foods May interact',NULL,FALSE
1872,66253,'Treatment of heart failure Treatment of rheumatoid arthritis Treatment of asthma Treatment of heart failure Treatment of rheumatoid arthritis Avoid fiber supplements Avoid iron-rich foods May interact',NULL,FALSE
1872,73654,'Treatment of heart failure Treatment of rheumatoid arthritis Treatment of asthma Treatment of heart failure Treatment of rheumatoid arthritis Avoid fiber supplements Avoid iron-rich foods May interact',NULL,FALSE
1690,66247,'Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Do not consume with magnes',NULL,FALSE
1690,292,'Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Do not consume with magnes',NULL,FALSE
1690,66253,'Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Do not consume with magnes',NULL,FALSE
2024,3852,'Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of diabetes mellitus type 2 May interact with calcium carbonate Do not take with calcium supplements Avoid iron-rich foods Limit vit',NULL,FALSE
2024,3562,'Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of diabetes mellitus type 2 May interact with calcium carbonate Do not take with calcium supplements Avoid iron-rich foods Limit vit',NULL,FALSE
2024,3563,'Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of diabetes mellitus type 2 May interact with calcium carbonate Do not take with calcium supplements Avoid iron-rich foods Limit vit',NULL,FALSE
1743,3852,'Treatment of pain and inflammation Treatment of depression and anxiety Treatment of asthma Acheta domesticus tablets Acheta domesticus oral Treatment of pain and inflammation Treatment of depression a',NULL,FALSE
1743,61374,'Treatment of pain and inflammation Treatment of depression and anxiety Treatment of asthma Acheta domesticus tablets Acheta domesticus oral Treatment of pain and inflammation Treatment of depression a',NULL,FALSE
1743,61373,'Treatment of pain and inflammation Treatment of depression and anxiety Treatment of asthma Acheta domesticus tablets Acheta domesticus oral Treatment of pain and inflammation Treatment of depression a',NULL,FALSE
1324,10701,'Treatment of allergic rhinitis Treatment of allergic rhinitis May deplete zinc levels May interact with vitamin K May interact with calcium carbonate Do not consume with magnesium May interact with vi',NULL,FALSE
1324,10700,'Treatment of allergic rhinitis Treatment of allergic rhinitis May deplete zinc levels May interact with vitamin K May interact with calcium carbonate Do not consume with magnesium May interact with vi',NULL,FALSE
1324,3852,'Treatment of allergic rhinitis Treatment of allergic rhinitis May deplete zinc levels May interact with vitamin K May interact with calcium carbonate Do not consume with magnesium May interact with vi',NULL,FALSE
2064,66247,'Treatment of heart failure Sodium aluminosilicate Sodium aluminosilicate tablets Sodium aluminosilicate oral Treatment of heart failure Do not take with calcium supplements May deplete zinc levels May',NULL,FALSE
2064,66253,'Treatment of heart failure Sodium aluminosilicate Sodium aluminosilicate tablets Sodium aluminosilicate oral Treatment of heart failure Do not take with calcium supplements May deplete zinc levels May',NULL,FALSE
