Nutrient,Unit,Gender,Age Group,Goal,Activity Factor,Recommended Amount (per day)
Vitamin A,µg RAE,Nữ,19–30,Tăng cân,1.9,1463.0
Vitamin A,µg RAE,Nữ,31–50,Giảm cân,1.2,756.0
Vitamin A,µg RAE,Nữ,31–50,Giảm cân,1.375,866.25
Vitamin A,µg RAE,Nữ,31–50,Giảm cân,1.55,976.5
Vitamin A,µg RAE,Nữ,31–50,Giảm cân,1.725,1086.75
Vitamin A,µg RAE,Nữ,31–50,Giảm cân,1.9,1197.0
Vitamin A,µg RAE,Nữ,31–50,Giữ cân,1.2,840.0
Vitamin A,µg RAE,Nữ,31–50,Giữ cân,1.375,962.5
Vitamin A,µg RAE,Nữ,31–50,Giữ cân,1.55,1085.0
Vitamin A,µg RAE,Nữ,31–50,Giữ cân,1.725,1207.5
Vitamin A,µg RAE,Nữ,31–50,Giữ cân,1.9,1330.0
Vitamin A,µg RAE,Nữ,31–50,Tăng cân,1.2,924.0
Vitamin A,µg RAE,Nữ,31–50,Tăng cân,1.375,1058.75
Vitamin A,µg RAE,Nữ,31–50,Tăng cân,1.55,1193.5
Vitamin A,µg RAE,Nữ,31–50,Tăng cân,1.725,1328.25
Vitamin A,µg RAE,Nữ,31–50,Tăng cân,1.9,1463.0
Vitamin A,µg RAE,Nữ,51+,Giảm cân,1.2,756.0
Vitamin A,µg RAE,Nữ,51+,Giảm cân,1.375,866.25
Vitamin A,µg RAE,Nữ,51+,Giảm cân,1.55,976.5
Vitamin A,µg RAE,Nữ,51+,Giảm cân,1.725,1086.75
Vitamin A,µg RAE,Nữ,51+,Giảm cân,1.9,1197.0
Vitamin A,µg RAE,Nữ,51+,Giữ cân,1.2,840.0
Vitamin A,µg RAE,Nữ,51+,Giữ cân,1.375,962.5
Vitamin A,µg RAE,Nữ,51+,Giữ cân,1.55,1085.0
Vitamin A,µg RAE,Nữ,51+,Giữ cân,1.725,1207.5
Vitamin A,µg RAE,Nữ,51+,Giữ cân,1.9,1330.0
Vitamin A,µg RAE,Nữ,51+,Tăng cân,1.2,924.0
Vitamin A,µg RAE,Nữ,51+,Tăng cân,1.375,1058.75
Vitamin A,µg RAE,Nữ,51+,Tăng cân,1.55,1193.5
Vitamin A,µg RAE,Nữ,51+,Tăng cân,1.725,1328.25
Vitamin A,µg RAE,Nữ,51+,Tăng cân,1.9,1463.0
Vitamin D,µg,Nam,19–30,Giảm cân,1.2,16.2
Vitamin D,µg,Nam,19–30,Giảm cân,1.375,18.56
Vitamin D,µg,Nam,19–30,Giảm cân,1.55,20.93
Vitamin D,µg,Nam,19–30,Giảm cân,1.725,23.29
Vitamin D,µg,Nam,19–30,Giảm cân,1.9,25.65
Vitamin D,µg,Nam,19–30,Giữ cân,1.2,18.0
Vitamin D,µg,Nam,19–30,Giữ cân,1.375,20.62
Vitamin D,µg,Nam,19–30,Giữ cân,1.55,23.25
Vitamin D,µg,Nam,19–30,Giữ cân,1.725,25.88
Vitamin D,µg,Nam,19–30,Giữ cân,1.9,28.5
Vitamin D,µg,Nam,19–30,Tăng cân,1.2,19.8
Vitamin D,µg,Nam,19–30,Tăng cân,1.375,22.69
Vitamin D,µg,Nam,19–30,Tăng cân,1.55,25.57
Vitamin D,µg,Nam,19–30,Tăng cân,1.725,28.46
Vitamin D,µg,Nam,19–30,Tăng cân,1.9,31.35
Vitamin D,µg,Nam,31–50,Giảm cân,1.2,16.2
Vitamin D,µg,Nam,31–50,Giảm cân,1.375,18.56
Vitamin D,µg,Nam,31–50,Giảm cân,1.55,20.93
Vitamin D,µg,Nam,31–50,Giảm cân,1.725,23.29
Vitamin D,µg,Nam,31–50,Giảm cân,1.9,25.65
Vitamin D,µg,Nam,31–50,Giữ cân,1.2,18.0
Vitamin D,µg,Nam,31–50,Giữ cân,1.375,20.62
Vitamin D,µg,Nam,31–50,Giữ cân,1.55,23.25
Vitamin D,µg,Nam,31–50,Giữ cân,1.725,25.88
Vitamin D,µg,Nam,31–50,Giữ cân,1.9,28.5
Vitamin D,µg,Nam,31–50,Tăng cân,1.2,19.8
Vitamin D,µg,Nam,31–50,Tăng cân,1.375,22.69
Vitamin D,µg,Nam,31–50,Tăng cân,1.55,25.57
Vitamin D,µg,Nam,31–50,Tăng cân,1.725,28.46
Vitamin D,µg,Nam,31–50,Tăng cân,1.9,31.35
Vitamin D,µg,Nam,51+,Giảm cân,1.2,16.2
Vitamin D,µg,Nam,51+,Giảm cân,1.375,18.56
Vitamin D,µg,Nam,51+,Giảm cân,1.55,20.93
Vitamin D,µg,Nam,51+,Giảm cân,1.725,23.29
Vitamin D,µg,Nam,51+,Giảm cân,1.9,25.65
Vitamin D,µg,Nam,51+,Giữ cân,1.2,18.0
Vitamin D,µg,Nam,51+,Giữ cân,1.375,20.62
Vitamin D,µg,Nam,51+,Giữ cân,1.55,23.25
Vitamin D,µg,Nam,51+,Giữ cân,1.725,25.88
Vitamin D,µg,Nam,51+,Giữ cân,1.9,28.5
Vitamin D,µg,Nam,51+,Tăng cân,1.2,19.8
Vitamin D,µg,Nam,51+,Tăng cân,1.375,22.69
Vitamin D,µg,Nam,51+,Tăng cân,1.55,25.57
Vitamin D,µg,Nam,51+,Tăng cân,1.725,28.46
Vitamin D,µg,Nam,51+,Tăng cân,1.9,31.35
Vitamin D,µg,Nữ,19–30,Giảm cân,1.2,16.2
Vitamin D,µg,Nữ,19–30,Giảm cân,1.375,18.56
Vitamin D,µg,Nữ,19–30,Giảm cân,1.55,20.93
Vitamin D,µg,Nữ,19–30,Giảm cân,1.725,23.29
Vitamin D,µg,Nữ,19–30,Giảm cân,1.9,25.65
Vitamin D,µg,Nữ,19–30,Giữ cân,1.2,18.0
Vitamin D,µg,Nữ,19–30,Giữ cân,1.375,20.62
Vitamin D,µg,Nữ,19–30,Giữ cân,1.55,23.25
Vitamin D,µg,Nữ,19–30,Giữ cân,1.725,25.88
Vitamin D,µg,Nữ,19–30,Giữ cân,1.9,28.5
Vitamin D,µg,Nữ,19–30,Tăng cân,1.2,19.8
Vitamin D,µg,Nữ,19–30,Tăng cân,1.375,22.69
Vitamin D,µg,Nữ,19–30,Tăng cân,1.55,25.57
Vitamin D,µg,Nữ,19–30,Tăng cân,1.725,28.46
Vitamin D,µg,Nữ,19–30,Tăng cân,1.9,31.35
Vitamin D,µg,Nữ,31–50,Giảm cân,1.2,16.2
Vitamin D,µg,Nữ,31–50,Giảm cân,1.375,18.56
Vitamin D,µg,Nữ,31–50,Giảm cân,1.55,20.93
Vitamin D,µg,Nữ,31–50,Giảm cân,1.725,23.29
Vitamin D,µg,Nữ,31–50,Giảm cân,1.9,25.65
Vitamin D,µg,Nữ,31–50,Giữ cân,1.2,18.0
Vitamin D,µg,Nữ,31–50,Giữ cân,1.375,20.62
Vitamin D,µg,Nữ,31–50,Giữ cân,1.55,23.25
Vitamin D,µg,Nữ,31–50,Giữ cân,1.725,25.88
Vitamin D,µg,Nữ,31–50,Giữ cân,1.9,28.5
Vitamin D,µg,Nữ,31–50,Tăng cân,1.2,19.8
Vitamin D,µg,Nữ,31–50,Tăng cân,1.375,22.69
Vitamin D,µg,Nữ,31–50,Tăng cân,1.55,25.57
Vitamin D,µg,Nữ,31–50,Tăng cân,1.725,28.46
Vitamin D,µg,Nữ,31–50,Tăng cân,1.9,31.35
Vitamin D,µg,Nữ,51+,Giảm cân,1.2,16.2
Vitamin D,µg,Nữ,51+,Giảm cân,1.375,18.56
Vitamin D,µg,Nữ,51+,Giảm cân,1.55,20.93
Vitamin D,µg,Nữ,51+,Giảm cân,1.725,23.29
Vitamin D,µg,Nữ,51+,Giảm cân,1.9,25.65
Vitamin D,µg,Nữ,51+,Giữ cân,1.2,18.0
Vitamin D,µg,Nữ,51+,Giữ cân,1.375,20.62
Vitamin D,µg,Nữ,51+,Giữ cân,1.55,23.25
Vitamin D,µg,Nữ,51+,Giữ cân,1.725,25.88
Vitamin D,µg,Nữ,51+,Giữ cân,1.9,28.5
Vitamin D,µg,Nữ,51+,Tăng cân,1.2,19.8
Vitamin D,µg,Nữ,51+,Tăng cân,1.375,22.69
Vitamin D,µg,Nữ,51+,Tăng cân,1.55,25.57
Vitamin D,µg,Nữ,51+,Tăng cân,1.725,28.46
Vitamin D,µg,Nữ,51+,Tăng cân,1.9,31.35
Vitamin E,mg,Nam,19–30,Giảm cân,1.2,16.2
Vitamin E,mg,Nam,19–30,Giảm cân,1.375,18.56
Vitamin E,mg,Nam,19–30,Giảm cân,1.55,20.93
Vitamin E,mg,Nam,19–30,Giảm cân,1.725,23.29
Vitamin E,mg,Nam,19–30,Giảm cân,1.9,25.65
Vitamin E,mg,Nam,19–30,Giữ cân,1.2,18.0
Vitamin E,mg,Nam,19–30,Giữ cân,1.375,20.62
Vitamin E,mg,Nam,19–30,Giữ cân,1.55,23.25
Vitamin E,mg,Nam,19–30,Giữ cân,1.725,25.88
Vitamin E,mg,Nam,19–30,Giữ cân,1.9,28.5
Vitamin E,mg,Nam,19–30,Tăng cân,1.2,19.8
Vitamin E,mg,Nam,19–30,Tăng cân,1.375,22.69
Vitamin E,mg,Nam,19–30,Tăng cân,1.55,25.57
Vitamin E,mg,Nam,19–30,Tăng cân,1.725,28.46
Vitamin E,mg,Nam,19–30,Tăng cân,1.9,31.35
Vitamin E,mg,Nam,31–50,Giảm cân,1.2,16.2
Vitamin E,mg,Nam,31–50,Giảm cân,1.375,18.56
Vitamin E,mg,Nam,31–50,Giảm cân,1.55,20.93
Vitamin E,mg,Nam,31–50,Giảm cân,1.725,23.29
Vitamin E,mg,Nam,31–50,Giảm cân,1.9,25.65
Vitamin E,mg,Nam,31–50,Giữ cân,1.2,18.0
Vitamin E,mg,Nam,31–50,Giữ cân,1.375,20.62
Vitamin E,mg,Nam,31–50,Giữ cân,1.55,23.25
Vitamin E,mg,Nam,31–50,Giữ cân,1.725,25.88
Vitamin E,mg,Nam,31–50,Giữ cân,1.9,28.5
Vitamin E,mg,Nam,31–50,Tăng cân,1.2,19.8
Vitamin E,mg,Nam,31–50,Tăng cân,1.375,22.69
Vitamin E,mg,Nam,31–50,Tăng cân,1.55,25.57
Vitamin E,mg,Nam,31–50,Tăng cân,1.725,28.46
Vitamin E,mg,Nam,31–50,Tăng cân,1.9,31.35
Vitamin E,mg,Nam,51+,Giảm cân,1.2,16.2
Vitamin E,mg,Nam,51+,Giảm cân,1.375,18.56
Vitamin E,mg,Nam,51+,Giảm cân,1.55,20.93
Vitamin E,mg,Nam,51+,Giảm cân,1.725,23.29
Vitamin E,mg,Nam,51+,Giảm cân,1.9,25.65
Vitamin E,mg,Nam,51+,Giữ cân,1.2,18.0
Vitamin E,mg,Nam,51+,Giữ cân,1.375,20.62
Vitamin E,mg,Nam,51+,Giữ cân,1.55,23.25
Vitamin E,mg,Nam,51+,Giữ cân,1.725,25.88
Vitamin E,mg,Nam,51+,Giữ cân,1.9,28.5
Vitamin E,mg,Nam,51+,Tăng cân,1.2,19.8
Vitamin E,mg,Nam,51+,Tăng cân,1.375,22.69
Vitamin E,mg,Nam,51+,Tăng cân,1.55,25.57
Vitamin E,mg,Nam,51+,Tăng cân,1.725,28.46
Vitamin E,mg,Nam,51+,Tăng cân,1.9,31.35
Vitamin E,mg,Nữ,19–30,Giảm cân,1.2,16.2
Vitamin E,mg,Nữ,19–30,Giảm cân,1.375,18.56
Vitamin E,mg,Nữ,19–30,Giảm cân,1.55,20.93
Vitamin E,mg,Nữ,19–30,Giảm cân,1.725,23.29
Vitamin E,mg,Nữ,19–30,Giảm cân,1.9,25.65
Vitamin E,mg,Nữ,19–30,Giữ cân,1.2,18.0
Vitamin E,mg,Nữ,19–30,Giữ cân,1.375,20.62
Vitamin E,mg,Nữ,19–30,Giữ cân,1.55,23.25
Vitamin E,mg,Nữ,19–30,Giữ cân,1.725,25.88
Vitamin E,mg,Nữ,19–30,Giữ cân,1.9,28.5
Vitamin E,mg,Nữ,19–30,Tăng cân,1.2,19.8
Vitamin E,mg,Nữ,19–30,Tăng cân,1.375,22.69
Vitamin E,mg,Nữ,19–30,Tăng cân,1.55,25.57
Vitamin E,mg,Nữ,19–30,Tăng cân,1.725,28.46
Vitamin E,mg,Nữ,19–30,Tăng cân,1.9,31.35
Vitamin E,mg,Nữ,31–50,Giảm cân,1.2,16.2
Vitamin E,mg,Nữ,31–50,Giảm cân,1.375,18.56
Vitamin E,mg,Nữ,31–50,Giảm cân,1.55,20.93
Vitamin E,mg,Nữ,31–50,Giảm cân,1.725,23.29
Vitamin E,mg,Nữ,31–50,Giảm cân,1.9,25.65
Vitamin E,mg,Nữ,31–50,Giữ cân,1.2,18.0
Vitamin E,mg,Nữ,31–50,Giữ cân,1.375,20.62
Vitamin E,mg,Nữ,31–50,Giữ cân,1.55,23.25
Vitamin E,mg,Nữ,31–50,Giữ cân,1.725,25.88
Vitamin E,mg,Nữ,31–50,Giữ cân,1.9,28.5
Vitamin E,mg,Nữ,31–50,Tăng cân,1.2,19.8
Vitamin E,mg,Nữ,31–50,Tăng cân,1.375,22.69
Vitamin E,mg,Nữ,31–50,Tăng cân,1.55,25.57
Vitamin E,mg,Nữ,31–50,Tăng cân,1.725,28.46
Vitamin E,mg,Nữ,31–50,Tăng cân,1.9,31.35
Vitamin E,mg,Nữ,51+,Giảm cân,1.2,16.2
Vitamin E,mg,Nữ,51+,Giảm cân,1.375,18.56
Vitamin E,mg,Nữ,51+,Giảm cân,1.55,20.93
Vitamin E,mg,Nữ,51+,Giảm cân,1.725,23.29
Vitamin E,mg,Nữ,51+,Giảm cân,1.9,25.65
Vitamin E,mg,Nữ,51+,Giữ cân,1.2,18.0
Vitamin E,mg,Nữ,51+,Giữ cân,1.375,20.62
Vitamin E,mg,Nữ,51+,Giữ cân,1.55,23.25
Vitamin E,mg,Nữ,51+,Giữ cân,1.725,25.88
Vitamin E,mg,Nữ,51+,Giữ cân,1.9,28.5
Vitamin E,mg,Nữ,51+,Tăng cân,1.2,19.8
Vitamin E,mg,Nữ,51+,Tăng cân,1.375,22.69
Vitamin E,mg,Nữ,51+,Tăng cân,1.55,25.57
Vitamin E,mg,Nữ,51+,Tăng cân,1.725,28.46
Vitamin E,mg,Nữ,51+,Tăng cân,1.9,31.35
Vitamin K,µg,Nam,19–30,Giảm cân,1.2,129.6
Vitamin K,µg,Nam,19–30,Giảm cân,1.375,148.5
Vitamin K,µg,Nam,19–30,Giảm cân,1.55,167.4
Vitamin K,µg,Nam,19–30,Giảm cân,1.725,186.3
Vitamin K,µg,Nam,19–30,Giảm cân,1.9,205.2
Vitamin K,µg,Nam,19–30,Giữ cân,1.2,144.0
Vitamin K,µg,Nam,19–30,Giữ cân,1.375,165.0
Vitamin K,µg,Nam,19–30,Giữ cân,1.55,186.0
Vitamin K,µg,Nam,19–30,Giữ cân,1.725,207.0
Vitamin K,µg,Nam,19–30,Giữ cân,1.9,228.0
Vitamin K,µg,Nam,19–30,Tăng cân,1.2,158.4
Vitamin K,µg,Nam,19–30,Tăng cân,1.375,181.5
Vitamin K,µg,Nam,19–30,Tăng cân,1.55,204.6
Vitamin K,µg,Nam,19–30,Tăng cân,1.725,227.7
Vitamin K,µg,Nam,19–30,Tăng cân,1.9,250.8
Vitamin K,µg,Nam,31–50,Giảm cân,1.2,129.6
Vitamin K,µg,Nam,31–50,Giảm cân,1.375,148.5
Vitamin K,µg,Nam,31–50,Giảm cân,1.55,167.4
Vitamin K,µg,Nam,31–50,Giảm cân,1.725,186.3
Vitamin K,µg,Nam,31–50,Giảm cân,1.9,205.2
Vitamin K,µg,Nam,31–50,Giữ cân,1.2,144.0
Vitamin K,µg,Nam,31–50,Giữ cân,1.375,165.0
Vitamin K,µg,Nam,31–50,Giữ cân,1.55,186.0
Vitamin K,µg,Nam,31–50,Giữ cân,1.725,207.0
Vitamin K,µg,Nam,31–50,Giữ cân,1.9,228.0
Vitamin K,µg,Nam,31–50,Tăng cân,1.2,158.4
Vitamin K,µg,Nam,31–50,Tăng cân,1.375,181.5
Vitamin K,µg,Nam,31–50,Tăng cân,1.55,204.6
Vitamin K,µg,Nam,31–50,Tăng cân,1.725,227.7
Vitamin K,µg,Nam,31–50,Tăng cân,1.9,250.8
Vitamin K,µg,Nam,51+,Giảm cân,1.2,129.6
Vitamin K,µg,Nam,51+,Giảm cân,1.375,148.5
Vitamin K,µg,Nam,51+,Giảm cân,1.55,167.4
Vitamin K,µg,Nam,51+,Giảm cân,1.725,186.3
Vitamin K,µg,Nam,51+,Giảm cân,1.9,205.2
Vitamin K,µg,Nam,51+,Giữ cân,1.2,144.0
Vitamin K,µg,Nam,51+,Giữ cân,1.375,165.0
Vitamin K,µg,Nam,51+,Giữ cân,1.55,186.0
Vitamin K,µg,Nam,51+,Giữ cân,1.725,207.0
Vitamin K,µg,Nam,51+,Giữ cân,1.9,228.0
Vitamin K,µg,Nam,51+,Tăng cân,1.2,158.4
Vitamin K,µg,Nam,51+,Tăng cân,1.375,181.5
Vitamin K,µg,Nam,51+,Tăng cân,1.55,204.6
Vitamin K,µg,Nam,51+,Tăng cân,1.725,227.7
Vitamin K,µg,Nam,51+,Tăng cân,1.9,250.8
Vitamin K,µg,Nữ,19–30,Giảm cân,1.2,97.2
Vitamin K,µg,Nữ,19–30,Giảm cân,1.375,111.38
Vitamin K,µg,Nữ,19–30,Giảm cân,1.55,125.55
Vitamin K,µg,Nữ,19–30,Giảm cân,1.725,139.72
Vitamin K,µg,Nữ,19–30,Giảm cân,1.9,153.9
Vitamin K,µg,Nữ,19–30,Giữ cân,1.2,108.0
Vitamin K,µg,Nữ,19–30,Giữ cân,1.375,123.75
Vitamin K,µg,Nữ,19–30,Giữ cân,1.55,139.5
Vitamin K,µg,Nữ,19–30,Giữ cân,1.725,155.25
Vitamin K,µg,Nữ,19–30,Giữ cân,1.9,171.0
Vitamin K,µg,Nữ,19–30,Tăng cân,1.2,118.8
Vitamin K,µg,Nữ,19–30,Tăng cân,1.375,136.13
Vitamin K,µg,Nữ,19–30,Tăng cân,1.55,153.45
Vitamin K,µg,Nữ,19–30,Tăng cân,1.725,170.78
Vitamin K,µg,Nữ,19–30,Tăng cân,1.9,188.1
Vitamin K,µg,Nữ,31–50,Giảm cân,1.2,97.2
Vitamin K,µg,Nữ,31–50,Giảm cân,1.375,111.38
Vitamin K,µg,Nữ,31–50,Giảm cân,1.55,125.55
Vitamin K,µg,Nữ,31–50,Giảm cân,1.725,139.72
Vitamin K,µg,Nữ,31–50,Giảm cân,1.9,153.9
Vitamin K,µg,Nữ,31–50,Giữ cân,1.2,108.0
Vitamin K,µg,Nữ,31–50,Giữ cân,1.375,123.75
Vitamin K,µg,Nữ,31–50,Giữ cân,1.55,139.5
Vitamin K,µg,Nữ,31–50,Giữ cân,1.725,155.25
Vitamin K,µg,Nữ,31–50,Giữ cân,1.9,171.0
Vitamin K,µg,Nữ,31–50,Tăng cân,1.2,118.8
Vitamin K,µg,Nữ,31–50,Tăng cân,1.375,136.13
Vitamin K,µg,Nữ,31–50,Tăng cân,1.55,153.45
Vitamin K,µg,Nữ,31–50,Tăng cân,1.725,170.78
Vitamin K,µg,Nữ,31–50,Tăng cân,1.9,188.1
Vitamin K,µg,Nữ,51+,Giảm cân,1.2,97.2
Vitamin K,µg,Nữ,51+,Giảm cân,1.375,111.38
Vitamin K,µg,Nữ,51+,Giảm cân,1.55,125.55
Vitamin K,µg,Nữ,51+,Giảm cân,1.725,139.72
Vitamin K,µg,Nữ,51+,Giảm cân,1.9,153.9
Vitamin K,µg,Nữ,51+,Giữ cân,1.2,108.0
Vitamin K,µg,Nữ,51+,Giữ cân,1.375,123.75
Vitamin K,µg,Nữ,51+,Giữ cân,1.55,139.5
Vitamin K,µg,Nữ,51+,Giữ cân,1.725,155.25
Vitamin K,µg,Nữ,51+,Giữ cân,1.9,171.0
Vitamin K,µg,Nữ,51+,Tăng cân,1.2,118.8
Vitamin K,µg,Nữ,51+,Tăng cân,1.375,136.13
Vitamin K,µg,Nữ,51+,Tăng cân,1.55,153.45
Vitamin K,µg,Nữ,51+,Tăng cân,1.725,170.78
Vitamin K,µg,Nữ,51+,Tăng cân,1.9,188.1
Vitamin C,mg,Nam,19–30,Giảm cân,1.2,97.2
Vitamin C,mg,Nam,19–30,Giảm cân,1.375,111.38
Vitamin C,mg,Nam,19–30,Giảm cân,1.55,125.55
Vitamin C,mg,Nam,19–30,Giảm cân,1.725,139.72
Vitamin C,mg,Nam,19–30,Giảm cân,1.9,153.9
Vitamin C,mg,Nam,19–30,Giữ cân,1.2,108.0
Vitamin C,mg,Nam,19–30,Giữ cân,1.375,123.75
Vitamin C,mg,Nam,19–30,Giữ cân,1.55,139.5
Vitamin C,mg,Nam,19–30,Giữ cân,1.725,155.25
Vitamin C,mg,Nam,19–30,Giữ cân,1.9,171.0
Vitamin C,mg,Nam,19–30,Tăng cân,1.2,118.8
Vitamin C,mg,Nam,19–30,Tăng cân,1.375,136.13
Vitamin C,mg,Nam,19–30,Tăng cân,1.55,153.45
Vitamin C,mg,Nam,19–30,Tăng cân,1.725,170.78
Vitamin C,mg,Nam,19–30,Tăng cân,1.9,188.1
Vitamin C,mg,Nam,31–50,Giảm cân,1.2,97.2
Vitamin C,mg,Nam,31–50,Giảm cân,1.375,111.38
Vitamin C,mg,Nam,31–50,Giảm cân,1.55,125.55
Vitamin C,mg,Nam,31–50,Giảm cân,1.725,139.72
Vitamin C,mg,Nam,31–50,Giảm cân,1.9,153.9
Vitamin C,mg,Nam,31–50,Giữ cân,1.2,108.0
Vitamin C,mg,Nam,31–50,Giữ cân,1.375,123.75
Vitamin C,mg,Nam,31–50,Giữ cân,1.55,139.5
Vitamin C,mg,Nam,31–50,Giữ cân,1.725,155.25
Vitamin C,mg,Nam,31–50,Giữ cân,1.9,171.0
Vitamin C,mg,Nam,31–50,Tăng cân,1.2,118.8
Vitamin C,mg,Nam,31–50,Tăng cân,1.375,136.13
Vitamin C,mg,Nam,31–50,Tăng cân,1.55,153.45
Vitamin C,mg,Nam,31–50,Tăng cân,1.725,170.78
Vitamin C,mg,Nam,31–50,Tăng cân,1.9,188.1
Vitamin C,mg,Nam,51+,Giảm cân,1.2,97.2
Vitamin C,mg,Nam,51+,Giảm cân,1.375,111.38
Vitamin C,mg,Nam,51+,Giảm cân,1.55,125.55
Vitamin C,mg,Nam,51+,Giảm cân,1.725,139.72
Vitamin C,mg,Nam,51+,Giảm cân,1.9,153.9
Vitamin C,mg,Nam,51+,Giữ cân,1.2,108.0
Vitamin C,mg,Nam,51+,Giữ cân,1.375,123.75
Vitamin C,mg,Nam,51+,Giữ cân,1.55,139.5
Vitamin C,mg,Nam,51+,Giữ cân,1.725,155.25
Vitamin C,mg,Nam,51+,Giữ cân,1.9,171.0
Vitamin C,mg,Nam,51+,Tăng cân,1.2,118.8
Vitamin C,mg,Nam,51+,Tăng cân,1.375,136.13
Vitamin C,mg,Nam,51+,Tăng cân,1.55,153.45
Vitamin C,mg,Nam,51+,Tăng cân,1.725,170.78
Vitamin C,mg,Nam,51+,Tăng cân,1.9,188.1
Vitamin C,mg,Nữ,19–30,Giảm cân,1.2,81.0
Vitamin C,mg,Nữ,19–30,Giảm cân,1.375,92.81
Vitamin C,mg,Nữ,19–30,Giảm cân,1.55,104.62
Vitamin C,mg,Nữ,19–30,Giảm cân,1.725,116.44
